Date,Scrip,Sector,Close,Return_252d_%,Return_50d_%,Return_20d_%,Rank_252d,Rank_50d,Rank_20d,Combined_Score_%,Overall_Rank,In_Portfolio,Sharpe_252d,RSI_14,Volatility_%,EMA200,Above_EMA200
2024-08-01,CPSEETF,ETF - CPSE,106.17,137.15,14.57,11.08,1,2,1,54.26,1,YES,3.5,64.8,25.7,80.83,YES
2024-08-01,ICICIB22,ETF - Bharat 22 Index,121.11,75.75,10.98,7.59,2,7,3,31.44,2,YES,2.85,69.2,20.5,100.44,YES
2024-08-01,JUNIORBEES,ETF - Next 50,791.5,68.36,8.95,2.41,3,8,7,26.58,3,YES,3.55,51.3,15.0,653.8,YES
2024-08-01,HDFCSML250,ETF - SmallCap,178.98,61.24,12.54,2.04,5,5,8,25.27,4,,3.11,54.7,15.8,152.84,YES
2024-08-01,TNIDETF,ETF - Digital,92.17,47.35,15.59,5.1,6,1,5,22.68,5,YES,2.91,75.8,13.6,78.9,YES
2024-08-01,PSUBNKBEES,ETF - PSU Bank,81.77,61.38,1.79,1.18,4,13,11,21.45,6,YES,1.86,54.4,27.9,74.18,YES
2024-08-01,LOWVOLIETF,ETF - Top 100,22.06,35.92,12.84,5.6,8,4,4,18.12,7,,3.12,76.2,10.0,19.28,YES
2024-08-01,MNC,ETF - MNC,31.55,41.16,6.09,1.97,7,11,9,16.41,8,,2.14,51.6,16.8,27.07,YES
2024-08-01,NIFTYBEES,ETF - Top 50,278.33,26.8,11.45,3.0,9,6,6,13.75,9,,2.32,74.9,10.5,247.19,YES
2024-08-01,FMCGIETF,ETF - FMCG,65.22,16.61,14.06,9.1,10,3,2,13.26,10,,1.31,74.7,12.4,57.72,YES
2024-08-01,BANKBEES,ETF - Bank,528.75,12.7,7.5,-2.59,12,10,12,5.87,11,,0.96,37.3,13.4,492.95,YES
2024-08-01,PVTBANIETF,ETF - Pvt Bank,25.77,9.89,8.1,-2.72,14,9,13,5.09,12,,0.73,36.1,14.3,24.29,YES
2024-08-01,GILT5YBEES,ETF - Fixed Income,57.17,8.61,2.47,1.46,15,12,10,4.18,13,,4.3,81.8,1.9,55.15,YES
2024-08-01,GOLDBEES,ETF - GOLD,59.09,15.68,-5.65,-3.24,11,14,14,2.26,14,,1.32,33.3,11.6,56.86,YES
2024-08-01,SILVERBEES,ETF - SILVER,82.34,10.14,-9.55,-5.83,13,15,15,-1.75,15,,0.57,23.0,20.6,78.46,YES
2024-09-02,CPSEETF,ETF - CPSE,102.71,116.1,9.7,-1.72,1,2,11,41.36,1,YES,3.06,49.0,26.4,85.18,YES
2024-09-02,JUNIORBEES,ETF - Next 50,802.49,72.15,5.19,2.51,2,6,3,26.62,2,YES,3.58,77.6,15.5,679.58,YES
2024-09-02,TNIDETF,ETF - Digital,97.84,56.12,18.16,5.52,5,1,1,26.6,3,YES,3.24,89.1,14.1,81.79,YES
2024-09-02,ICICIB22,ETF - Bharat 22 Index,118.85,70.1,7.19,-0.1,3,4,9,25.73,4,YES,2.65,64.0,20.9,103.73,YES
2024-09-02,HDFCSML250,ETF - SmallCap,182.89,60.08,6.73,2.71,4,5,2,23.17,5,,2.95,75.0,16.4,157.78,YES
2024-09-02,MNC,ETF - MNC,31.49,43.53,2.24,0.93,7,7,6,15.57,6,,2.16,60.0,17.5,27.88,YES
2024-09-02,PSUBNKBEES,ETF - PSU Bank,78.26,53.9,-5.89,-2.66,6,11,12,15.12,7,YES,1.68,59.2,28.1,74.56,YES
